"Id","CouFips","CouName","TotPop","BlkPop","Area","Perimeter","WLong","ELong","SLat","NLat","CentroidLong","CentroidLat","CPopLong","CPopLat","USPVotesDem","USPVotesRep","USPVotes3rd","USSVotesDem","USSVotesRep","USSVotes3rd","ATTVotesDem","ATTVotesRep","ATTVotes3rd","AUDVotesDem","AUDVotesRep","AUDVotes3rd","TREVotesDem","TREVotesRep","TREVotes3rd"
"073","073","Lawrence",91108,3501,939428324.341362,125471.141981492,-80.519311,-80.096861,40.851338,41.127965,-80.3341943619936,40.9912655743365,-80.336654678349,40.9869068610078,14009,25428,1316,15289,22674,2317,17165,22638,0,17275,20210,2173,17793,19520,2313
"063","063","Indiana",88880,2434,2160811808.49917,223987.608740923,-79.4599,-78.79899,40.368717,40.911346,-79.0875499709641,40.6520490722798,-79.1289918041229,40.6157152399651,11528,24888,1354,12592,22245,2955,14838,22240,0,14815,19593,2661,14884,19112,2978
"039","039","Crawford",88765,1547,2687149933.68161,233639.054337785,-80.519437,-79.612072,41.480395,41.851524,-80.106277477814,41.6846964747501,-80.1014957815643,41.6664864856744,10971,24987,1534,11047,24472,1740,12587,23856,0,11504,22595,2435,12390,21670,2407
"033","033","Clearfield",81642,1862,2988750196.1117,270087.274812594,-78.806598,-78.038203,40.72418,41.253778,-78.4741112056328,41.0001930810654,-78.4979072423483,40.993738911744,8200,24932,1139,9454,22128,2429,11344,22228,0,11279,20256,2002,11437,19663,2293
"111","111","Somerset",77742,1863,2799600155.29879,246732.940236662,-79.417558,-78.658409,39.721578,40.285374,-79.028272261974,39.9724398123364,-79.0106431160733,40.0330683242986,7376,27379,1018,8340,25470,1923,10561,24550,0,10929,22524,1760,10793,22119,2168
"005","005","Armstrong",68941,553,1719343887.55063,253183.656154522,-79.69293,-79.210197,40.52488,41.170691,-79.4645390947817,40.8122908107363,-79.5105216749716,40.7703141083165,7178,23484,956,8387,20793,2220,10365,20562,0,10932,17960,1861,10810,17773,2080
"037","037","Columbia",67295,1246,1269507012.87249,169710.797183501,-76.640767,-76.207827,40.775511,41.310199,-76.4051500769418,41.0486534666238,-76.3918452798145,41.0389811055945,8934,18004,1290,9819,16292,1991,11082,16539,0,10589,15122,1880,12036,13590,2028
"025","025","Carbon",65249,976,1003327580.05997,157733.510970181,-75.997348,-75.474193,40.735414,41.134023,-75.7088216075905,40.9181829145554,-75.7106307773637,40.8711472545076,8936,18743,1097,10086,16360,1770,11511,15943,0,10446,14819,1980,11226,14105,1935
"015","015","Bradford",62622,311,3007025324.38325,222504.368749988,-76.927084,-76.115172,41.541285,42.002134,-76.5154526737694,41.7886677293837,-76.528987505751,41.8276365388128,6369,18141,1198,6985,16574,2000,7380,17785,0,6715,16716,1684,7290,15872,1921
"103","103","Pike",57369,3322,1468133538.34941,219658.703045661,-75.359184,-74.689502,41.079868,41.601874,-75.0338289818117,41.3319875229919,-74.9864467488419,41.3073477474007,9256,16056,789,9329,15192,1113,9659,15591,0,8812,14674,1659,9154,14317,1654
"121","121","Venango",54984,571,1768535909.14252,190612.422189506,-79.999845,-79.477822,41.171654,41.624559,-79.7579457372073,41.4009690988686,-79.7661554201077,41.4063893180645,6309,16021,1018,6989,14581,1638,7741,15208,0,7438,13880,1552,7733,13418,1709
"127","127","Wayne",52822,1644,1944081866.11331,262015.828392224,-75.505607,-75.043562,41.232539,41.999447,-75.3032577117892,41.6487307419228,-75.3068277509299,41.5416800261119,7008,16244,766,7487,14538,1803,8154,15156,0,7468,13984,1751,7789,13607,1800
"009","009","Bedford",49762,238,2633772474.33396,232131.794403959,-78.808387,-78.134718,39.722472,40.327025,-78.4903171106797,40.0065552779199,-78.475591979371,40.0524905384087,3645,19552,440,4356,17739,1344,5348,17786,0,5176,16519,1346,5074,16286,1477
"087","087","Mifflin",46682,300,1074110496.57377,176797.805521087,-77.913929,-77.287941,40.360542,40.846937,-77.6170420790129,40.610412880901,-77.610821499778,40.6070599225269,3877,14094,630,4031,13089,1093,4688,13160,0,4521,12155,1111,4471,12081,1167
"099","099","Perry",45969,296,1438834240.36142,233542.181985166,-77.671761,-76.91497,40.185362,40.628163,-77.2622961001175,40.398409444939,-77.1562830635378,40.4085770598652,4632,15616,910,4962,14898,1231,5551,15201,0,6329,13154,1315,5452,13665,1540
"061","061","Huntingdon",45913,2392,2303188965.93268,273446.743395072,-78.257305,-77.676611,40.061419,40.743681,-77.9812075962321,40.4169345092207,-78.0001247883165,40.4239318032793,4539,14494,673,5105,13078,1406,6055,13268,0,5595,12435,1225,5719,12079,1419
"065","065","Jefferson",45200,157,1701106008.38256,186885.59600133,-79.215706,-78.710059,40.905971,41.376565,-78.9994214488933,41.1281451361533,-78.9664314335685,41.0866634805943,3650,15192,636,4160,13706,1451,4938,14142,0,5136,12769,1090,5125,12697,1245
"119","119","Union",44947,3324,823038529.68952,149744.451098218,-77.36418,-76.799277,40.807334,41.148801,-77.0622494346399,40.9629663127608,-76.967178106152,40.9779414704757,6180,10622,666,6092,10568,841,6522,10607,0,6027,10225,1036,6388,9796,1037
"083","083","McKean",43450,1046,2549117022.98039,213723.27760517,-78.956056,-78.203422,41.602188,41.999968,-78.569025135105,41.8077476123803,-78.5897174972358,41.8639737902603,4025,11635,636,3987,11530,605,4288,11502,0,3814,10904,1025,4018,10582,1121
"115","115","Susquehanna",43356,156,2155239138.89761,188615.710643286,-76.145519,-75.462238,41.64141,41.999283,-75.8006827994008,41.8213255130399,-75.7704560534783,41.8226395730799,5123,12891,849,5535,11996,1716,6150,12787,0,5623,11739,1516,5989,11220,1673
"117","117","Tioga",41981,333,2944727829.34001,217151.396147528,-77.610027,-76.874714,41.542271,42.001674,-77.2542642536603,41.7721615367101,-77.2113220940225,41.8152502153725,3901,13614,810,3992,13418,764,4408,13491,0,3759,12885,1225,3986,12389,1467
"123","123","Warren",41815,149,2327266695.23907,198487.279340841,-79.612977,-78.915674,41.623402,41.999507,-79.2741433750999,41.8145746186088,-79.2344811338218,41.8519951351945,5145,12477,812,5124,12130,958,5813,11843,0,5156,10935,1493,5667,10377,1532
"031","031","Clarion",39988,484,1579489793.75049,207012.272774112,-79.700581,-79.207072,40.968262,41.436264,-79.4209637121799,41.1923895390778,-79.4234331548326,41.1830289444005,4273,12576,686,4931,11310,1204,5618,11607,0,5667,10412,1039,5723,10135,1174
"109","109","Snyder",39702,428,858635909.681714,142252.064087275,-77.356628,-76.798714,40.635711,40.889621,-77.0701855104294,40.7698380753695,-76.9850391449834,40.7878601593276,4002,11725,636,4299,10867,1116,4742,11233,0,4232,10397,1190,4615,9876,1304
"035","035","Clinton",39238,625,2323047366.14501,257748.398854979,-78.093381,-77.143712,40.962938,41.478576,-77.6381058341343,41.2340543619642,-77.455651467898,41.1461201481737,4744,10022,628,5511,8702,952,6217,8683,0,5579,8225,966,6247,7663,954
