"Id1","Id2","McdFullName1","McdFullName2","Lv3Name1","Lv3Name2","PolyId1","PolyId2","Cou1Name1","Cou1Name2","Length"
"0111069600","0711070400","Caernarvon township","Caernarvon township","","",1,1,"Berks","Lancaster",7642.05790064312
"0292119200","0298308000","East Goshen township","West Goshen township","","",1,1,"Chester","Chester",7639.39618742955
"0035501600","1256537600","North Fayette township","Robinson township","","",1,1,"Allegheny","Washington",7635.43113029188
"0715784800","0717472000","Paradise township","Strasburg township","","",1,1,"Lancaster","Lancaster",7635.2053453671
"0592915200","0598176800","Gilmore township","Wayne township","","",1,1,"Greene","Greene",7634.69078502232
"0032102400","0032760800","East Deer township","Frazer township","","",1,1,"Allegheny","Allegheny",7634.33097579878
"0811156000","0814635200","Cascade township","McNett township","","",1,1,"Lycoming","Lycoming",7634.31502829496
"0153046400","0158265600","Granville township","West Burlington township","","",1,1,"Bradford","Bradford",7634.19722900817
"1090031600","1097285600","Adams township","Spring township","","",1,1,"Snyder","Snyder",7633.62193682263
"0611160000","0611163200","Cass township","Cassville borough","","",1,1,"Huntingdon","Huntingdon",7633.17988066344
"0131176000","0616216000","Catharine township","Porter township","","",1,1,"Blair","Huntingdon",7633.17569550167
"0031521600","0036535200","Collier township","Robinson township","","",1,1,"Allegheny","Allegheny",7629.94296592591
"1092744000","1094896000","Franklin township","Middleburg borough","","",1,1,"Snyder","Snyder",7627.76556041055
"0814618400","0816032800","McHenry township","Pine township","","",1,1,"Lycoming","Lycoming",7625.00992299543
"1312675200","1314852800","Forkston township","Mehoopany township","","",1,1,"Wyoming","Wyoming",7620.19943872269
"0336779200","0658584000","Sandy township","Winslow township","","",1,1,"Clearfield","Jefferson",7614.70345736189
"0493093600","0493252000","Greene township","Harborcreek township","","",1,1,"Erie","Erie",7609.59695523332
"0035052800","0036153600","Monroeville borough","Plum borough","","",1,1,"Allegheny","Allegheny",7600.32897593046
"0352829600","0814618400","Gallagher township","McHenry township","","",1,1,"Clinton","Lycoming",7597.9458449804
"0952164800","0958525600","Easton city","Williams township","","",1,1,"Northampton","Northampton",7597.54056874975
"0170981600","0176161600","Buckingham township","Plumstead township","","",1,1,"Bucks","Bucks",7596.45032856431
"0330628800","0334029600","Bigler township","Knox township","","",1,1,"Clearfield","Clearfield",7596.21897421572
"0434904000","0437552800","Middle Paxton township","Susquehanna township","","",1,1,"Dauphin","Dauphin",7595.63965934257
"0071820000","0734382400","Darlington township","Little Beaver township","","",1,1,"Beaver","Lawrence",7594.33055848434
